Claim_ID,Policy_ID,Policy_Holder,Claim_Date,Claim_Type,Policy_Type,Claim_Amount,Reimbursed_Amount,Premium_Amount,Coverage_Amount,Location,Region,Rainfall_mm,Weather_Condition,Incident_Description,Claim_Channel,Customer_Age,Customer_Gender,Settlement_Status,Processing_Days,Fraud_Flag,Claim_Loss_Ratio
C3262-W,P40568-B,Lakshit Ramakrishnan,2024-08-29,Vehicle,Vehicle,93323,93323,17405,189921,Lucknow,North,264,Heavy Rain,Crop Loss,Agent,18,Female,Pending,27,No,0.49
C6656-M,P94312-Y,Krish Garg,2024-08-08,Property,Life,489458,489458,36511,680750,Delhi,North,289,Flood,Crop Loss,Online,61,Male,Settled,7,No,0.72
C7439-X,P76281-R,Sahil Hayre,2024-10-05,Vehicle,Property,39390,39390,26880,111107,Delhi,North,240,Moderate Rain,Hospitalization,Mobile App,34,Male,Settled,4,No,0.35
C2553-T,P29547-U,Shayak Talwar,2024-09-22,Property,Life,436791,416535,46802,611371,Delhi,North,266,Heavy Rain,Road Accident,Mobile App,33,Male,Settled,5,No,0.71
C4165-V,P32378-C,Nakul Dave,2024-04-02,Property,Vehicle,295648,295648,27754,463164,Ahmedabad,West,93,Light Rain,Road Accident,Branch,30,Female,Pending,18,No,0.64
C2162-C,P11718-P,Kaira Devi,2024-12-16,Agriculture,Life,85180,85180,13209,306971,Mumbai,West,102,Flood,House Damage,Branch,41,Other,Rejected,30,No,0.28
C7130-B,P50273-E,Amani Dave,2024-12-28,Agriculture,Vehicle,137650,137650,9585,311200,Ahmedabad,West,288,Heavy Rain,Crop Loss,Mobile App,68,Male,Pending,30,No,0.44
C3027-E,P30462-S,Taran Choudhary,2024-09-02,Property,Vehicle,455938,341654,35238,524564,Kolkata,East,174,Light Rain,Hospitalization,Mobile App,58,Other,Pending,19,No,0.87
C5211-V,P51850-C,Vaibhav Rajagopalan,2024-02-12,Agriculture,Agriculture,60062,60062,19179,218102,Delhi,North,142,Heavy Rain,Hospitalization,Agent,19,Female,Pending,14,No,0.28
C4007-M,P95693-O,Uthkarsh Shah,2024-03-09,Property,Agriculture,241368,241368,17502,318676,Kolkata,East,226,Flood,Flood Damage,Online,43,Male,Settled,21,No,0.76
C3111-M,P51334-R,Ivan Saraf,2024-09-25,Health,Life,53908,53908,5240,204546,Hyderabad,South,193,Light Rain,Hospitalization,Online,48,Female,Pending,5,No,0.26
C2962-Y,P58941-G,Aarna Karnik,2024-12-06,Vehicle,Health,52852,52852,32120,287029,Mumbai,West,219,Light Rain,Crop Loss,Mobile App,35,Female,Settled,26,No,0.18
C9945-V,P55328-Q,Zaina Kade,2024-03-22,Health,Agriculture,171891,171891,38411,288476,Ahmedabad,West,146,Light Rain,Crop Loss,Online,62,Male,Pending,27,No,0.6
C1290-N,P97220-R,Lakshay Sundaram,2024-06-23,Property,Property,484868,484868,18547,681652,Hyderabad,South,289,Heavy Rain,House Damage,Agent,54,Female,Settled,29,No,0.71
C5631-E,P15821-L,Yakshit Sathe,2024-09-01,Agriculture,Property,214392,214392,34061,385543,Hyderabad,South,173,Light Rain,Road Accident,Online,70,Other,Pending,27,No,0.56
C2314-G,P55978-P,Oorja Varkey,2024-01-14,Property,Property,323025,247433,5151,460263,Pune,West,195,Light Rain,Hospitalization,Agent,64,Female,Rejected,27,No,0.7
C8847-C,P20875-F,Ayesha Samra,2024-03-27,Property,Property,214658,162999,18449,487232,Mumbai,West,289,Heavy Rain,Crop Loss,Mobile App,45,Female,Pending,17,No,0.44
C1922-P,P94772-A,Amani Bansal,2024-09-29,Vehicle,Health,75605,75605,39246,366797,Chennai,South,75,Moderate Rain,Flood Damage,Online,39,Male,Settled,16,No,0.21
C3058-I,P96717-F,Zeeshan Keer,2024-10-20,Property,Vehicle,461724,461724,38184,623341,Kolkata,East,219,Flood,Flood Damage,Online,60,Male,Settled,24,No,0.74
C1992-V,P95295-O,Oorja Loyal,2024-12-23,Property,Agriculture,279132,279132,27821,370968,Ahmedabad,West,52,Light Rain,Flood Damage,Agent,64,Other,Settled,21,No,0.75
C5848-X,P77774-V,Shamik Sengupta,2024-08-03,Agriculture,Property,183417,183417,40623,271597,Ahmedabad,West,282,Moderate Rain,Road Accident,Mobile App,25,Other,Pending,26,No,0.68
C6981-K,P20581-S,Onkar Acharya,2024-08-15,Property,Vehicle,128887,128887,27871,190596,Delhi,North,87,Flood,Crop Loss,Agent,48,Male,Settled,10,No,0.68
C7494-K,P35537-Y,Umang Chanda,2024-02-21,Health,Vehicle,78689,78689,27240,180274,Chennai,South,202,Heavy Rain,Flood Damage,Online,64,Female,Settled,5,No,0.44
C3521-K,P85509-M,Alia Koshy,2024-03-16,Health,Agriculture,116718,116718,32734,255901,Mumbai,West,216,Heavy Rain,Crop Loss,Online,55,Male,Settled,4,No,0.46
C8115-H,P87237-L,Ishaan Devi,2024-10-11,Agriculture,Health,64325,64325,41687,154958,Chennai,South,298,Light Rain,Flood Damage,Online,25,Other,Settled,27,No,0.42
C6971-X,P54592-A,Uthkarsh Kadakia,2024-04-01,Property,Health,342281,342281,12040,596988,Mumbai,West,63,Moderate Rain,Road Accident,Agent,29,Male,Pending,16,No,0.57
C1613-O,P90455-L,Tarini Kurian,2024-12-25,Property,Agriculture,217863,217863,28772,352476,Kolkata,East,199,Light Rain,Road Accident,Mobile App,51,Female,Pending,29,No,0.62
C1283-G,P16110-D,Tushar Varughese,2024-08-13,Health,Vehicle,185518,185518,45926,403562,Ahmedabad,West,62,Light Rain,Flood Damage,Online,28,Male,Pending,21,No,0.46
C7451-B,P14856-X,Damini Korpal,2024-07-16,Property,Vehicle,420027,420027,45081,672383,Mumbai,West,198,Light Rain,Crop Loss,Mobile App,20,Female,Settled,6,No,0.62
C9985-C,P66064-T,Nirvi Dua,2024-09-24,Agriculture,Life,235847,235847,25382,309761,Bangalore,South,84,Heavy Rain,House Damage,Agent,64,Female,Pending,9,No,0.76
C6063-J,P25364-T,Kashvi Kumar,2024-09-19,Vehicle,Agriculture,69940,69940,18112,289101,Mumbai,West,297,Light Rain,Hospitalization,Agent,32,Other,Settled,12,No,0.24
C1102-B,P92205-Z,Inaaya  Dar,2024-01-02,Agriculture,Property,197215,197215,42230,446287,Mumbai,West,165,Light Rain,House Damage,Branch,29,Male,Rejected,14,No,0.44
C8091-L,P63074-B,Pari Wable,2024-07-31,Property,Agriculture,146206,146206,6710,445829,Jaipur,North,218,Light Rain,Crop Loss,Agent,42,Other,Pending,4,No,0.33
C5952-B,P14832-Z,Pihu Bhatti,2024-03-26,Vehicle,Property,145341,145341,14521,412211,Bangalore,South,242,Light Rain,Hospitalization,Branch,46,Male,Settled,28,No,0.35
C2746-M,P38283-H,Miraan Issac,2024-12-02,Agriculture,Life,108085,108085,10714,387732,Jaipur,North,88,Flood,Crop Loss,Branch,29,Other,Settled,20,No,0.28
C4323-C,P43066-Y,Madhup Borde,2024-09-11,Property,Agriculture,355856,355856,22762,586740,Jaipur,North,168,Heavy Rain,Flood Damage,Agent,25,Male,Rejected,19,No,0.61
C3798-B,P53281-P,Sumer Bhandari,2024-12-19,Property,Life,185388,148400,31091,463317,Jaipur,North,153,Light Rain,Road Accident,Agent,37,Female,Settled,3,No,0.4
C2878-D,P13307-Z,Uthkarsh Ram,2024-05-19,Health,Agriculture,118523,118523,29970,286096,Ahmedabad,West,99,Flood,House Damage,Online,62,Female,Settled,9,No,0.41
C3792-Y,P92933-R,Hiran Salvi,2024-03-26,Health,Health,49558,49558,10301,248596,Pune,West,246,Flood,Hospitalization,Online,68,Female,Pending,5,No,0.2
C8409-N,P43748-C,Hridaan Anand,2024-11-20,Agriculture,Vehicle,75784,75784,38447,260607,Chennai,South,60,Moderate Rain,Flood Damage,Agent,50,Female,Settled,27,No,0.29
C5010-A,P92846-A,Misha Mani,2024-10-09,Vehicle,Health,35107,35107,15061,216477,Jaipur,North,164,Moderate Rain,Hospitalization,Mobile App,62,Other,Settled,11,No,0.16
C7066-W,P70353-T,Dishani Bawa,2024-06-16,Agriculture,Property,117297,117297,47406,261177,Hyderabad,South,254,Light Rain,Crop Loss,Online,48,Male,Settled,3,No,0.45
C8787-Q,P51666-F,Vidur Loke,2024-10-05,Vehicle,Vehicle,102835,102835,26242,295381,Mumbai,West,270,Light Rain,Crop Loss,Branch,28,Female,Settled,20,No,0.35
C6856-G,P52026-T,Gatik Shankar,2024-08-09,Property,Health,203421,203421,15715,500324,Kolkata,East,276,Moderate Rain,Flood Damage,Agent,58,Female,Settled,25,No,0.41
C1885-F,P41177-E,Jayesh Kale,2024-03-25,Vehicle,Property,141136,141136,32677,329190,Chennai,South,109,Moderate Rain,Road Accident,Agent,55,Male,Settled,16,No,0.43
C8833-U,P65490-W,Navya Shankar,2024-07-08,Property,Property,361059,361059,23467,600774,Chennai,South,61,Flood,Flood Damage,Mobile App,49,Other,Pending,19,No,0.6
C3355-Q,P92968-R,Ahana  Bhattacharyya,2024-12-26,Agriculture,Agriculture,168126,168126,15840,278840,Delhi,North,94,Heavy Rain,Hospitalization,Mobile App,30,Other,Settled,17,No,0.6
C2120-E,P97858-L,Armaan Goyal,2024-03-07,Agriculture,Vehicle,272439,272439,11623,540923,Delhi,North,299,Moderate Rain,House Damage,Agent,35,Other,Pending,17,No,0.5
C5523-Y,P71049-V,Yashvi Boase,2024-10-18,Property,Property,164852,164852,9101,241034,Bangalore,South,201,Light Rain,Road Accident,Agent,23,Male,Settled,6,No,0.68
C6574-T,P39909-B,Mehul Gopal,2024-06-06,Agriculture,Vehicle,259250,259250,48413,391189,Pune,West,111,Heavy Rain,Road Accident,Online,59,Other,Settled,30,No,0.66
C7377-R,P42745-F,Purab Dhaliwal,2024-12-29,Health,Agriculture,61876,61876,22046,169953,Pune,West,88,Moderate Rain,House Damage,Online,52,Male,Settled,4,No,0.36
C3362-Q,P44439-R,Nirvaan Biswas,2024-11-07,Agriculture,Vehicle,150840,150840,42712,358154,Ahmedabad,West,178,Light Rain,Flood Damage,Mobile App,65,Male,Pending,22,No,0.42
C7007-J,P76484-K,Nirvaan Saini,2024-07-12,Property,Vehicle,415652,341350,30020,545373,Lucknow,North,190,Moderate Rain,House Damage,Branch,51,Male,Pending,30,No,0.76
C7317-M,P48823-G,Heer Garg,2024-02-14,Property,Property,271449,271449,18465,550447,Ahmedabad,West,192,Moderate Rain,Road Accident,Online,37,Other,Settled,15,No,0.49
C4365-G,P69021-W,Ishita Mani,2024-06-20,Vehicle,Property,72761,72761,31043,284161,Bangalore,South,229,Moderate Rain,House Damage,Branch,25,Other,Rejected,13,No,0.26
C8946-L,P23635-V,Sana Kade,2024-01-26,Agriculture,Vehicle,167592,167592,31837,242905,Bangalore,South,170,Light Rain,Flood Damage,Online,52,Other,Settled,5,No,0.69
C7583-W,P89958-R,Adah Sachdeva,2024-05-21,Agriculture,Life,232640,232640,19697,330285,Kolkata,East,148,Light Rain,Crop Loss,Agent,28,Female,Pending,16,No,0.7
C8381-V,P32525-C,Sumer Raja,2024-01-28,Vehicle,Property,41384,41384,8995,121739,Ahmedabad,West,71,Flood,Crop Loss,Agent,59,Other,Pending,5,No,0.34
C7992-N,P94899-H,Lagan Dubey,2024-07-03,Health,Property,149351,149351,25132,239679,Mumbai,West,137,Flood,Flood Damage,Agent,34,Female,Pending,6,No,0.62
C8340-W,P42665-C,Renee Mangal,2024-05-07,Health,Vehicle,153566,153566,37718,432399,Pune,West,58,Moderate Rain,Road Accident,Mobile App,19,Female,Settled,26,No,0.36
C1819-K,P22235-O,Damini Balakrishnan,2024-09-14,Agriculture,Property,187189,187189,40808,332472,Chennai,South,99,Heavy Rain,Hospitalization,Branch,19,Female,Settled,5,No,0.56
C8090-Q,P62006-D,Tushar Ravi,2024-03-22,Vehicle,Life,57845,57845,32078,314157,Kolkata,East,230,Flood,Hospitalization,Branch,64,Female,Settled,10,No,0.18
C4009-L,P81189-R,Emir Tak,2024-08-11,Agriculture,Vehicle,208467,208467,40662,447549,Jaipur,North,133,Light Rain,Hospitalization,Branch,57,Male,Settled,19,No,0.47
C2647-M,P17149-P,Ivan Chada,2024-02-04,Health,Life,169936,169936,23113,256117,Ahmedabad,West,284,Flood,Hospitalization,Agent,51,Female,Pending,23,No,0.66
C8289-H,P68665-D,Eva Sem,2024-02-03,Agriculture,Health,290021,290021,17235,366943,Hyderabad,South,133,Light Rain,Crop Loss,Mobile App,62,Male,Settled,10,Yes,0.79
C7459-Y,P76561-F,Taimur Walla,2024-07-25,Vehicle,Property,93014,93014,26148,178564,Lucknow,North,138,Moderate Rain,Flood Damage,Agent,40,Female,Settled,25,No,0.52
C4102-I,P32686-U,Kabir Kapadia,2024-01-23,Vehicle,Health,51406,51406,21702,215237,Lucknow,North,174,Heavy Rain,Hospitalization,Online,62,Other,Pending,3,Yes,0.24
C1764-N,P25999-G,Vedika Solanki,2024-10-12,Health,Agriculture,166935,166935,15230,297549,Pune,West,133,Flood,Hospitalization,Branch,44,Male,Pending,6,No,0.56
C3914-S,P97038-K,Urvi Suresh,2024-02-24,Agriculture,Life,195309,195309,23200,391119,Bangalore,South,200,Moderate Rain,Road Accident,Online,23,Other,Settled,10,No,0.5
C2858-L,P92337-O,Yasmin Deshpande,2024-10-28,Agriculture,Vehicle,299542,263508,39912,434833,Jaipur,North,282,Light Rain,Flood Damage,Agent,48,Other,Pending,20,No,0.69
C1116-V,P49477-P,Neysa Virk,2024-03-26,Health,Property,30166,30166,8863,322835,Pune,West,50,Flood,Crop Loss,Branch,49,Male,Settled,25,No,0.09
C8143-B,P13068-Z,Ryan Devi,2024-04-15,Vehicle,Property,54283,54283,15480,221463,Jaipur,North,146,Moderate Rain,Hospitalization,Branch,39,Male,Pending,26,No,0.25
C4949-H,P19987-P,Trisha Kanda,2024-08-04,Property,Agriculture,467336,413223,43048,576647,Jaipur,North,125,Light Rain,Crop Loss,Mobile App,48,Male,Pending,24,No,0.81
C4799-V,P27779-O,Jivin Sharaf,2024-10-29,Health,Agriculture,29469,29469,7169,119278,Jaipur,North,157,Moderate Rain,Crop Loss,Mobile App,36,Other,Settled,22,No,0.25
C4327-L,P11526-J,Keya Mani,2024-09-25,Health,Life,91612,80375,39620,293479,Kolkata,East,188,Flood,Hospitalization,Online,66,Male,Pending,29,No,0.31
C2524-U,P55393-J,Tushar Hayre,2024-09-29,Agriculture,Agriculture,199339,199339,14199,474584,Mumbai,West,153,Moderate Rain,Hospitalization,Online,27,Female,Settled,20,No,0.42
C2010-V,P11502-Y,Myra Sachdev,2024-06-22,Health,Life,159939,159939,20031,408361,Mumbai,West,66,Light Rain,Crop Loss,Branch,27,Other,Settled,6,No,0.39
C1874-B,P98956-S,Devansh Jain,2024-04-30,Property,Property,399860,399860,37960,522472,Bangalore,South,125,Flood,Crop Loss,Mobile App,58,Male,Pending,6,No,0.77
C6805-M,P91927-B,Rhea Bhatt,2024-05-29,Agriculture,Health,124049,124049,21828,275291,Jaipur,North,160,Heavy Rain,Hospitalization,Online,39,Other,Settled,15,No,0.45
C6126-Q,P48357-S,Divit Ravi,2024-06-12,Property,Agriculture,452614,452614,28228,516612,Delhi,North,80,Heavy Rain,Road Accident,Branch,47,Male,Settled,11,No,0.88
C5168-D,P15736-D,Darshit Viswanathan,2024-10-15,Health,Health,150749,150749,15817,370595,Jaipur,North,66,Flood,Crop Loss,Online,36,Male,Pending,29,No,0.41
C4278-N,P85636-U,Madhav Bhavsar,2024-03-07,Property,Property,214220,214220,25809,337194,Ahmedabad,West,51,Moderate Rain,House Damage,Agent,24,Male,Settled,4,No,0.64
C9764-P,P98990-C,Tejas Kara,2024-02-25,Health,Property,75412,75412,49133,341862,Bangalore,South,237,Flood,Hospitalization,Agent,49,Female,Settled,20,No,0.22
C9600-K,P47317-B,Kashvi Bora,2024-03-15,Vehicle,Property,142927,92777,12746,283565,Lucknow,North,171,Light Rain,Crop Loss,Agent,47,Female,Settled,8,No,0.5
C4365-A,P92781-J,Shamik Shenoy,2024-09-18,Vehicle,Life,99657,99657,27685,339161,Jaipur,North,185,Moderate Rain,Hospitalization,Online,30,Other,Settled,26,No,0.29
C6120-D,P12118-B,Vritika Bakshi,2024-08-25,Agriculture,Vehicle,250954,250954,26021,469731,Kolkata,East,226,Heavy Rain,Road Accident,Online,46,Other,Settled,26,No,0.53
C2728-I,P76088-C,Ryan Gara,2024-02-06,Health,Property,82738,44481,40108,162226,Ahmedabad,West,291,Light Rain,Crop Loss,Branch,20,Other,Settled,7,No,0.51
C6479-I,P60532-I,Saira Baria,2024-09-14,Health,Vehicle,51065,51065,36599,291768,Ahmedabad,West,264,Heavy Rain,House Damage,Online,25,Other,Settled,14,No,0.18
C3644-Q,P42490-K,Kismat Rattan,2024-12-19,Vehicle,Property,67484,67484,41810,147658,Hyderabad,South,270,Moderate Rain,Road Accident,Mobile App,19,Female,Pending,6,No,0.46
C2184-P,P32462-Z,Elakshi Gade,2024-06-17,Health,Vehicle,120829,120829,17678,382216,Delhi,North,271,Flood,Road Accident,Online,67,Female,Settled,9,Yes,0.32
C8628-I,P87324-D,Zeeshan Sane,2024-04-30,Health,Property,182575,182575,15012,326274,Delhi,North,84,Light Rain,Hospitalization,Mobile App,65,Female,Pending,23,No,0.56
C4182-H,P64756-P,Nehmat Mall,2024-01-01,Property,Health,256069,256069,22634,307744,Pune,West,174,Heavy Rain,Flood Damage,Mobile App,46,Male,Pending,24,No,0.83
C9460-K,P85127-G,Ela Wali,2024-05-06,Property,Property,227692,227692,5842,283378,Pune,West,286,Flood,Hospitalization,Online,48,Female,Settled,26,No,0.8
